ID,text,target
IXEQA3Y4,What is a good of life?,0
X7ONF6SO,What are the effects of 0?,0
MTTRV505,Measures to take to overcome suicidal thoughts,0
GR0P3AXE,how do I  avoid getting addicted,0
DQYT5T05,Feeling lonelyNow I feel better,0
50NFWPFO, why do we use bhang?,0
G1CNQX97,I felt incomplete and overthinking stress ,0
7ONNL6JS,"My feelings were chaotic,sad,isolatedNow better",0
HBG8Z32E,How to study to avoid failing  of my exams,0
RICJ4SMV,"Was sad,lonely,confused now",0
87FJU3OA,How can i stop drug abuse?,0
4091K7GR,Why do we drink anyway? What is the effect of overdrinking 0?,0
PTJM4W2F,How to overcome this peer pressure of taking 0?,0
M4SRHJHN,I am thinking about school expenses,0
F4UA4E08,how do I handle pain,0
4YAZ71T4,what can I do inorder to stop 0 abuse,0
RG2YXG81,How to manage social drinking?,0
QY55OB2E,Why is life so difficult?,0
SP3FVI1L,I am sad,0
LZX05AM2, It feels as if my head is exploding Lots of burnout Am feeling much better,0
TNLKFJ3W,I feel hopelessFor now I am just fine,0
VSMF1JK5,"I got to a stagnation point,dropped out of classes",0
0WD80PHP,what are the advantages of taking bhang?,0
1I1423F8,I feel stressed and hopeless,0
SD3C3HNH,Challenging,0
9XHFLZW0,I feel abandoned and lonely,0
PBVEUVY5,I can't stop smoking weed because of the good feeling of calmness.,0
V0SS50TS,I am overwhelmed by life.,0
1VIUC0G0,I feel terrible,0
J6DZPN7V,Is taking 0 worth it?,0
4JF0OXGT,I feel like days were flying past me,0
S1FD3U91,Why do bad things always happen to me?,0
T62AVHMC,Lonely and stressed,0
11CGOZLV,How can I avoid wasting my money on 0 with friends,0
UL95QSEX,Dissappointed and hurt,0
4FZFI3HJ,How does one come out of 0?,0
33K6R2R3,How to stop the addiction,0
LPV5XWOK,"I am Lonely and nott myself, simply because of relationship issues",0
X8GDM3BF,I'm still depressed and worried of my mental health,0
OZFGITK8,How will I stop?,0
HF2DDNQZ, What can one do to reduce the feeling of 0?,0
YYNUDOWG,How to reduce excess intake of 0,0
P7Z3JK1D,whom should I disclose to my issues,0
L1GXD7QK,Impacts of 0 in real life,0
P6F3W88R,How can I stop taking bhang?,0
XPNDRLBZ,I was so depressed and I feel like the whole world was against me,0
TU17R8EH," I really feel bored with the situation I am in , and experiencing dizzines  and a lack of appetite",0
MNARVFA1,I feel things were not going my way and feel like giving up,0
3HVSN1L9,I feel like I have wasted my life,0
AET542VI,"Insomia,headache,social problems",0
E064SNA9,How can I do without 0 when stressed?,0
39NBD6FO,What makes one an addict of 0?,0
TFB5T5K9,How can i stop drinking,0
X1ROWD34,How to stop/ reduce 0,0
5SQF3ZIP,How can I do without a relationship?,0
PW1OUC5S,How to gain momentum in academics,0
HFT4O5RI,I feel that nobody loved me as much if I was in my own world I feel much bette,0
BIQ3K5MF,I feel like the world is against me ,0
RPR79301,How can I stop drug usage?,0
SRRPHNPR,Does bhang affect your memory?,0
X8ZI1GT6," I haveI had a feeling of being lone ranger, but I'm okay now",0
OSOAIJEZ,How to stop bhang?,0
UVSIAT7E,I feel like giving up everything,0
K186E1KR,I feel sad,0
IMXTN5TC,I feel less important to anyone,0
DXPY4E6H,Causes of 0ism. ways in which one can do to stop 0,0
Z5ZE798J,Ways to stop 0 addiction,0
SDRU0I0I,I feel so low like the only way out is death,0
7QCXEWFU,What is more to life?,0
F9NRCHYI,"Looking for employment,still depressed",0
519MFQ9G,what do I do to stop?,0
AWQDGRT6,i feel well okay and hurt,0
PO5PLBDQ,I feel low and lost hope in everythingI feel better now,0
DGPCPMEH,I have a disease that drained all resources from my family,0
5JLVKXY3,I am involved in a Love affair and I would like to know hw can I control myself?,0
H9JJ8H3N,I waste money on 0,0
CGF1MPRY,What are the effects of smoking bhang?,0
GUDI29F9,What are the best coping strategies to deal with stress?,0
W1E9KIF6," my sister oftenly faints, this troubles me",0
9U6OKPXX,Hopeless and how to get out of it,0
4XNB1V5E,I am depressed and want solitude,0
VHHH5F68,Is withdrawal from people helpful from commiting 0?,0
NHTQ6O30,i feel stressed,0
FHO1C5EF,Is there a peer counselling programme,0
7TYFSZHT,How to overcome 0ism?,0
MO49SQRK,How can I stop taking 0?,0
JGF06QXV,I hate my life,0
2WAYPCEQ,I have given up with everything in life ,0
U9T40R7Q,Causes of hurt,0
H7X049T2, im feeling stressed,0
CEAOWJOR,Why is the larger percentage of youths involved in 0ism,0
BXPHSVEO,Where i get money for my needs…Where do I get money  for personal needs?,0
C7QD5SLH,How do i get better?,0
C4Q8W3C9,How to avoid the thoughts?,0
Z5XWUAEQ,What is the reason for 0?,0
Y7B63LQT,Why do people think of commiting 0?,0
SGZIY718,What are the effects of drug consumption?,0
QCIAO332,How do I overcome the feeling of being  weaker and weaker in thoughts,0
1A99866J,I feel horrible and unsatisfied,0
2K0PN69M,Ways of overcoming peer influence of 0ism.,0
7X4ZSOCS,How do I stop taking 0? Do you recommend rehabilitation,0
YNB3JEUO,What will my mum think of me whren she finds out that I smoke weed?,0
AP3VVFX6,Will 0 lead me to a bad place in life,0
JPRV8I5J,Why do I suffer?,0
L9NXPIEN,Depressed about broken relationship with a church pastor after having sex with his highschool daughter,0
7L9G3QJ9,Who can guide me whn depressed?,0
J55053XP,I am financially constrained over school fees and my  family background is not stable with a lot of debts…I have an elderly brother who could easily support me but has no job even after graduating,0
YMIV9TAR,stressed and overwhelmed by the many thingof lifeRight now I'm taking things easy,0
ROK05XD3,I feel very discouraged my self esteem went low,0
JOWFMRU7,"I feel unloved, unwanted",0
CPZ81QFJ,I need advise on how to avoid 0,0
1V9AWIGY,Does smoking make one cool?,0
R0AW64SP,I feel depressed because of issues with my best friend and my parents I was at my lowest point being lowkey everyday,0
TD15L93X, I never feel like I am npt worth living,0
9QYAHRR5,feel so low and sad,0
NUCSE95E,Being left by the person i loved the most,0
8NNK7CZJ,I feel trapped,0
94N9JHU2,This are my loneliest moments and hurt moments,0
CZ0V545V,I was once depressed and I feel like giving up with my life,0
UUB5FREC,I tried asking how to stop the habit,0
LD2JTQWZ,what are ways of dealing with 0,0
DQXPXEQN,I want to be alone in no company of friends,0
PB50CNUF,I told myself to be strong enough,0
6QZH2CWL,"Lonely, isolated, very weak",0
JYHRF3IE,I feel helpless,0
NQL6BXUU,Is life this hard?,0
F5N4RU80,Why is it that my health is deteroriating?,0
KPWR5OTH,"I feel withdrawn,alone,stresssed sad",0
IO6PZ9Y1,How can I overcome 0 from heartbreak?,0
F0I7GIGE,I feel desparate…why is the world so unfair,0
698A4P0J,I feel like the world is falling apart,0
WLEWY07N,Effects of 0 in my life?,0
24NNBTL7,How to deal with hallucinations?,0
1HA77QQ3," Sad, lonely and tired",0
YZWFPP8M,feel very lonelyI'm quite okay,0
A4BCYETH,I take 0 for personal realization.,0
YIXKUJUC,how to quit 0?,0
NIAOYQXU,is life even worth it,0
N2DJJ1XY,I feel that everything was coming to an end,0
XY588V2F,What are the effects of 0 on our bodies,0
D64IPYOU,How to manage my relationship,0
SAWSGYZB,What is the solution for feeling hopeless,0
0UNXTGLP,How can i motivate myself when feeling low,0
UTKO2AZD,Never sought assistance,0
2ASR64M6,Is 0 really harmful?,0
BGPNXEE0,What could i do to deal with frustrations?,0
93HHN24Q,why some things happen over and over again,0
MOVEQ145,I did not seek help,0
ZHP9VVGC,Does weed do any  good?,0
SA2FYD2A,I feel heart broken,0
WGML4P7B,If the person i wronged will forgive me and accept reconcilliation,0
3GLOZPU4,"I feel like the world was against me, especially from friends and relatives who were close to me I conqured it that my life is more important",0
SMVFTBV1,The feeling was like alone in the world,0
8E412HHJ,"Sad,lonely",0
X0YHNC8N, I feel like giving up,0
KLX5TBWE, Is it childlish to feel depressed,0
ZFTOS18U,How can I shun from the same?,0
OM77C6FZ,Feeling relieved,0
NOXKH5TS,Whom will I approach when mentally disturbed?,0
37IG68E9,why do I always feel heartbroken all the time,0
YDMU6CHX,I have experienced stress which led to 0I had the issue handled,0
Q4R2NXGE,I fee sad and unwanted,0
WBGFUUCK,how can I be helped to come out of 0?,0
ZP5PTWOV,I feel sad,0
AAKPNVQO,I am broke and very  unpreparedness in exams,0
2JTGDT5L,What if I live in an isolated place?,0
UU3DHPUN,How i stop the behaviour of 0 taking,0
ATO107VQ, how I can be able to handle my stress and not feel like taking away my life,0
TBAG3V8T,"what could be the cause of my 0,how can I overcome it",0
6IGFTWHT,Can beer lead to any problem?,0
1AOWXKXV,How to stop?,0
FAFZLNY4,I am in a financial crisis,0
SRK3NE8O,I have smoked weed and addidcted and need assistance?,0
LGBXU9PN,Is alccohol the only form of entertainment for the young adults?,0
T8BIPMVF,I feel Sad,0
4VMEBNDV,I lost my father,0
2QRTGS6A,Why I needed to keep holding on to nothing. If my life really ahd a purpose,0
E1NEHTU0,How to convince someone against commiting 0,0
019YKKY0,"I feel bad about myself, I dont want to interact with anyone",0
A04YR7N0,How to control my emotions. How to stop drinnking.,0
XBFD6MDZ,I feel so lowI feel good and better now,0
EK67UMY1,I feel like commiting 0 and need solutions to the problem which led to the 0,0
124Y7IO6,Financial issues,0
6XVOCUMI,How can i stop bhang?,0
MIZ8T6M9,"How do I deal with 0,should I do?",0
3WINGR1Y,How can i stop taking 0,0
ZN43XFVV,I feel like nobody cares,0
4SB4B0B5, I have and the feeling I had was not very pleasing ,0
OLQHJ0PO,How should I overcome 0? Why must it be me?,0
UZFCOXZP,How can I stay without smoking?,0
1M6N5OI2,How to stop the addiction?,0
BHG2VBMC,I feel like killing myself and killing the people who caused my 0,0
8BKND7CF,I almost gave up and got no assistance,0
8UAQNJAY,Am I addicted?,0
JFXSWJSP,Is 0 helpful to ones health,0
57OCJ216,What is a permanent solution to depressed person?,0
D4PDKNYF,How to deal with the problems which can lead to 0,0
0TID986J,how to quit 0,0
V8L9C5XG,I am overwhelmed on how to deal with the issue below I am fine now,0
COHF4DEW," I feel severely depressed I withdraw from people, and prefer to be alone",0
GI46OIMU,I lost a bet with house rent,0
MVVH8XCA,I feel uneasy difficulty with life,0
BS8XRA3X,"I have feel sad and hopeless, not sure if that's 0",0
DP6D3EG6,Are there any helpful effects of bhang?,0
V0C7LKYN,"I am very nervous and bothered, ",0
5272SYMK,Where can I find a rehabilitation center?,0
PKIO2M1G," Suicidal thoughts, stress, hyper-arousal",0
PQP1IRYK,What are the main causes of excessive 0 taking,0
9EJV3WJK,Why is life so difficult?,0
SJ2J5OEL, I don't feel like talking to anyone,0
1IHTBDJ2,What can I do to be relieved?,0
LIHIU7DI,Main causes of 0 and how to deal with them when they arise,0
U3T52WN4, I feel lonely and discouraged,0
52BWXOL8,SadI am good,0
KWNGKGHQ,I feel like life does not make sense,0
3MXZDXDL,How to limit myself from getting depressed,0
2KOGKZUF,"I feel like my life is done, no more joy in life",0
JZRQUUF1,The loss of my beloved father,0
48HYYYED,"Why do people take 0 and how benefitial is it to their life, What should one do to avoid taking 0",0
PMFIIRXF,how can I make money,0
IW10CAAM,I feel lonely and  no one wanted to stay around me,0
E7BSF5F4,How can I stop using 0?,0
W6C11AZK, feeling unloved or unwanted and I dont deserve to be alive ,0
1ECHO6JY,How to overcome the frustration,0
Q06DDJ1O,What are the causes of 0 and the effects,0
J3ORYNFV,"I felt emotionally low and sad most of the time I feel better, stronger and happier now",0
WZ2MGVEF,I am financially  instable,0
QEMQKIIN,Why all this challenges had to come my way where no one thought of me,0
9DOVTEWF,How to stop taking 0,0
EV19B9ZK,I am devastated and  angry at ather people,0
VVC47SJA,How can I stop?,0
79DO3BLF,What are the effects and how can i get rid of it,0
U26JDVW1,"I need help, who can help me manage my situation?",0
4HP750CC,How can I get financial sponsorship,0
ZZQSS6H4,what do I do  to avoid stress,0
DPRVXK1C,I feel sickly and lack appetite,0
LPXJIQ0F,"I feel like life is not good,since I had no one to talk to",0
XS8XILTW,what is the worst experience from 0,0
YOJA9LQH,Why 0 occurs,0
IKLQJKBL,what should I do to stop 0ism?,0
DMC1XK7H,"I felt sad,was stressed,lowi am now better",0
FIH2SDXX, My family split and I am deeply affected,0
SRN1G752,Loss of a close family member,0
HXYQVQWR,What are the means to avoid 0?,0
PNXEUYN8, Family issue,0
XWU3Z6IA,"What am I going to do to reconcile with parents,they have rejected me?",0
806HFIMM,How can i get out of 0 in future,0
458NTYKE,"Had a problem with my personal looks,feel sad",0
530N0OSW,How can i stop 0?,0
HRDQXFHE,How can I overcome peer pressure,0
ETG5YAOK,I was depressed way back in highschool while looking for schoolfees,0
5HNNAWYU,What more is life?,0
5THWQBRK,Can I ever get back to my old person,0
8P56CL8S,Can I kill myself?,0
4V3L91FT,I do not find pleasure in doing things,0
F0NI9AOY,How can I overcome 0,0
A1TVAV77,What can I do not to get depressed?,0
O55WPPEO,Is there anything i can do to avoid  smoking weed?,0
NO6BCAST,How can i stop drinking 0,0
W9HP80YU,I don't feel loved,0
ZI14LEQ6,Low and alone,0
DN5UJHKK,I am still thinking of getting back to 0,0
WI9JJNVI,How can I overcome the 0 addiction,0
XBAYE2FN,Does drinking 0 solve all your problems?,0
3J7JPGD7,I have low self esteem ,0
DJEL7KQ1,I am fearful of failure when I start drinking 0,0
OGX0QSGU,Can beer lead to any problem?,0
LMD13ZEK,I was much depressed and a lot of confusion,0
9LQLIVJN,"I really feel so down, disgusted and diserted, I feel more depresses and seeking for guidance",0
R0RZ3ISJ,"I feel lonely,how do I get out of this position",0
NM3JOH4T,"I feel so low sickly,I was lonelyCurrently feeling better after guidance and counselling",0
8BR3ZDDW,why do some people judge me too quickly and why do I fail in everything,0
1YK7RQ1V,I'm still depressed,0
5C7PZ719,How to help when you depressed?,0
Q7T5GJPT,"I feel withdrawn, how do I get over an ex?",0
UXMHC2DY,I am experiencing a challenge in raising my school fees and  it was not an easy task because of the family issues,0
8A0L8D4F,I feel alone and that everyone had deserted me when I need them the most,0
QJRZKSBF,I am an addict.,0
EXF1GZG5,How do I quit drinking excessive 0,0
4N0N95OJ,what exactly is 0,0
ZMXITBVW,How can i stop using 0 and in what ways can it affect my future?,0
822XTUHN,why should I stop taking 0,0
PW3IHHIH,Why are most of my friends ignoring me? why is it I am going through much in life compared to others,0
MFSIUMOQ,feel that life is unworthy,0
4WT396Z8,How can I quit 0ism?,0
AXB45SPX,What are ways to quit bhang use?,0
1ZFDUBIG, Fear of the future which is unpredictable and feelings of anxiety,0
AZ86LNQL,Should I ignore my friends?,0
D911LP0M, I am making efforts to quit but it is challenging,0
X6ZOTZ9W,Should I go back to ex girlfriend?,0
J6JW6ZKN, I feel like God had abandoned me or rather I am  not supposed to be born or existd,0
RCNR7KU0,what can I do with my life now,0
EFK2DMIY,How can i stop taking 0?,0
T6WTTRZR,How does someone commit 0?,0
A9YBOHVL,I feel lonely and sad,0
BVG5L5JW,I feel wasted and used by my GF ,0
QCRNZLUK,How can you come out from a depressing situation?,0
4HOGHNMY,Am i not a man enough?,0
YECHMD4P,How can I stop using 0?,0
OED97WAE,How do you get to the point of 0?,0
C23HZKC4,How will campus education be of help?,0
758KAJFQ,why am I thinking of 0?,0
X0WLSH74,Death of a beloved one,0
49OI9LFV,Does 0 add value to me?,0
YWFB8BMK,"I Just want to sleep, relax, not consult anybody or a feel to see anybody",0
2KPKRR5Q,I feel sad and lost,0
W1OOD0X1,How better would I quit?,0
MSEG1EUS,How can i cope up with the reality of financial distress?,0
KR577F9W,What are the effects of bhang?,0
N4WXTO2Z,How can I stop using 0?,0
NSKVDVTP,How to quit drinking completely?,0
BT009XFM,how can I overcome it?,0
KO08Y83E," Getting unexpected results, -dissatisfied, ",0
JHPJKYTB,I have relationship issues,0
BWX7DDGA,Is it possible to overcome 0,0
ML4Q1EUL,I feel suicidal but dont know who to talk to,0
1FN3F19Z,Being financially unstable,0
SKQSS8U2,How can i get schoolfee to continue with my education,0
C4ZFBQCG,I feel bad and viewed life as negativecurrently am better,0
66S4DCDN,"I feel lost, unloved, used annd I just wanted to be alone",0
SLQD8WSJ,Is life really fair?,0
AHEFY73G,How to cope with the situation,0
0KPI3LLQ,How to avoid bad company?,0
HYC7XX9D, hopeless,0
N5NIMS0Z,Hopeless ,0
4AEMAVSI,Why is 0 sold along the school perimeter ,0
DQ0ZRCBG,What ways I would use to get rid of my messed up life?,0
9KB39E0J,"how does it feel to drink,will I get addicted by drinking once",0
QNZTZXTG,how can I feel good about myself?,0
3NYXT52Q,What are  the effects of bhang to one health. Reasons why young people use bhang,0
QNG7K64Y,how to avoid 0,0
SJ7CFS9T,What to do in order to heal,0
KQFPSMHC,Can 0 make me forget my problem temporarily?,0
TW5OZ0FT,I feel like I can't handle my thoughts,0
8B74B1L2,how can I overcome 0,0
TI7ZV4JN,What are the effects of 0 on the liver,0
SODQJHO6,I feel like nothing mattered and everything was a messNow I feel like things matter,0
YPERKZ41,What are the effects of bhang?,0
E5CV0MKI,I cannot raise money for my education,0
WYHWQWGQ,My relatives deny me…I wonder if I am part of my family?,0
PU0V70X8,How can one avoid 0?,0
QAA28H63,how can I overcome stress,0
PXYR9D4W,How do I make it go away?,0
9XGSA7NA,What are the causes of 0?,0
I7DEVJAV,Is taking 0 bad?,0
0HK6V5IQ,I am bored,0
5U9CA7JB,what is the cure for 0,0
JG53WKEQ,How can i feel better about myself,0
WV139P3G,Whats the meaning of life?,0
KTB98LYD,Why did my close relatives betray me?,0
G56ZI56J,I feel very lonely that no one could understand,0
43COYA4O,What is the benefit of 0,0
ZVE1876W,Should iI talk to my friends and peer counsellor about my 0 ?,0
1NYXESRZ,how can I be helped to heal from 0,0
RFP8XV4M,I went through FGM when young even though I consented,0
68SJ8EY6, I feel like giving up in life,0
B2YVEKVV,how to get over 0,0
3PQMK4FM,How can I reduce my intake,0
F3UCEDHO,What are the causes of 0,0
NNJL1HJH,Why does one feel paranoid?,0
0RLWLLGO,How can I stop this addiction,0
5QW8WM9C,Feelings of defeat(post exams 0)Motivated to do better,0
U8PFW5XV,I feel like calling off the semester,0
VDCJVJSQ,I asked God to take away the feeling since it was so strong,0
QK0XURE8,What can i doto receive relief?,0
345EH7SW,I feel like giving up in life ,0
NWDQ09Y6,Why is 0 manufactured?,0
AQXE8YUQ,I feel a lot of stress,0
2DQC65OW,I feel helpless,0
5MQ7A91J,How do I deal with  pessimistic thoughts,0
87074JKC,what are the causes of 0?,0
KVEYGOTJ,How to avoid and deal with the situation and how to respond to it,0
LH9R1DBT,What makes my girlfriend cheat on me even after sacrificing everything for her sake,0
2NXFMOKE,I feel overwhelmed with many thoughts to deal ,0
BJLZVXMC,I feel alone and unwanted by people around me,0
HSE1ZTR9,How to stop thinking about 0,0
3PJWHC2U,I feel like my life was being wasted,0
SDPWD1PN,how to quit the habit,0
6O89B9EY,Defering from classes because of finacial constraints,0
T7JBP0IC,How do I seek for assistance with 0?,0
1961MJ2S,I am dealing with  boredom,0
4OESQ1EK,Is there any importance of living again? Why live with no love from those who surround you?,0
X8O9GH1U,The way to stop addiction,0
LADM6UFA,"how will I overcome it,I had an issue with my results and feel so depressed",0
QOFKBPUS,I was dumped and how long should I stay single or sould I jump into another  relationship?t,0
URI1V0R3,I feel heartbroken,0
M2JMY4OO,0 is caused by what issues and why?,0
G44KLZZ4,How can I  get rid of 0,0
JRZYO5O8,what is this I am experiencing I didn’t know it was 0,0
3M7810JM,Can I get help?,0
MADILFL0,I asked if 0 was a right solution to problems,0
2QC3W148,I feel hopeless and wanting to give up,0
WSAVYFFX,"When someone is depressed he/she feels down, discouraged and alone I feel out of this place, lonely and discouraged",0
SEBOGNIF,Ways of distracting myself,0
W907767X,I am sad,0
HE9RC42N,Why am I depressed?,0
I8ZPACQI,Is 0 the solution?,0
DAYJJ61Y,I  feel so low and demotivated I am now okay,0
RYJ3OZ9F,how could I deal with the situation that was disturbing me,0
8ABCNKW4,I am depressed because of the death of my uncle who provided for my basic needs,0
DY1JKMGM,is it really true that weed makes one mad?,0
JAN18LES,Is it normal to feel depressed?,0
FCE44MSH,What is the meaning of life?,0
F8W8NSJJ,I have a feeling of emptiness and alone,0
Q5E4HDTA,How can I stop the drinking habit?,0
73NZU7G2,I want to give up,0
22RORUIT,I was felling stressed and low. How can I cope with the situation,0
S116D8SI,I take 0 for stress management.,0
3X9HWVR4,Why am I depressed?,0
JM5OPG3I,What are the causes of 0,0
PJLYRD1P,What are the coping mechanisms and prevention of 0,0
QQL0MAIX,How can I quit 0ism,0
OMRH3DVV,Is 0 harmful to my health,0
9DNFBSL2,"If one looses a close relative, what advice could she be given?",0
PTGL895A,Is 0 a good stress remover?,0
I3I44B31,I am lonely,0
6V3ZR95L,I lack interest in my life,0
X7MFCWB0,Is little consumption harmful? Owing the fact that I dont misbehave,0
DQG9CGRC, Financial I am okay,0
4UV2FRHD,what would I do to do away with my problems,0
TZ35PP65,How can i motivate myself,0
JOJHW6FC,Is it possible for one to avoid taking bhang?,0
18GKJ3U8,what is the best way to avoid 0,0
ZTHQDLGP,I felt worhtless and like I did not deserve to be alive,0
D7VAHRPJ,I feel so low,0
8CQ5NA5Z,"I feel alone ,how can I get better?",0
6S0LACRA,"I feel rejected,alone and frustratedi live one day at a time",0
D0P1CB0F, I feel so low and I want to isolate myself ,0
BK5X5HHN,  why do young people use bhang?,0
S7MHCGJH,Can bhang make you crazy?,0
UDSG21T6,I took the 0 and I loved the feeling,0
NHTBS1LG,is it normal having 0 ,0
CA0859HT,I feel alone,0
LBV4ISID,How do I stop taking 0? Does 0 have any other benefitto the body?,0
3933159G,I feel awful about my life,0
6X6OH52Q,"Feelings of being low,under the weatherNow I'm better",0
CUERB14Y,Why should I quit bhang?,0
MF0708RN,How to deal with romantic relationships,0
Y3P3JZP1,What should i do when depressed? What can one do to reduce the feelings?,0
ZIPNKKK7,What causes suicidal thoughts?,0
KOORZYC0,I feel suicidal after a break up,0
DCPL2SXG,"I have experienced,feel a heavy burden",0
HB8BVVJ8,Why are 0 supplied to students?,0
4ZTPSBEF,How can I overcome stress to make my life more smooth,0
KH0NT5XD,I had two miscarriages,0
3QGFARA3,"I feel lost,did not what to doI stay positive",0
MYPDFILX,What is the effect of not talking to someone when feeling suicidal,0
FU6XHANF,"I feel neglected,sad",0
84L7CK98,I am dealing with family issues,0
NIKN6HS2,Is 0 really the best method of solving a problem,0
OSZQ8K2J,What can i do to avoid the shame from the village people,0
VG5P3433,How could I survive without my friends,0
L6CVBCFS,This has been occuring quite often,0
EW1NTSYD,How to avoid negative peer pressure,0
R7L7Y1IG,How do i do away with 0?,0
GXWI7EJL,I am dealing with  a break up from my girlfriend and a parents death,0
PY1C5ZVD, I feel like I hate myself and that all the choices I have made are awful ,0
ZV03WYKN,how do I improve on my performance,0
NQ7HK3NP,How to handle 0 and incidencesof 0 to youths,0
PNR0M0CI,Which is the best 0 for me?,0
447QAS4Z,How to avoid 0ism?,0
PTSOT6WO,How do I sought for help in wanting to commit 0,0
X1F6M1BU,I failed exams I had an F,0
CN5UZZA0,I feel like I am nothing in the worldm[',0
YKET9W6S,How can i get back selfworth?,0
8KUTQA8G,Lack of financial support and relationship heartbreaks,0
XK6D0XGQ,What steps should one take when depressed,0
V00KVMET,I feel uncomfortable,0
HE9MDURK,I am really down with a lot of headaches,0
QCT744TT,why does someone drink too much?,0
CI8NAQTY,Will i be criticized for taking weed?,0
ZSF30K8E,What could be causes of stress and boredom,0
M1KNYEPT,How could I leave 0?,0
W0AUKZRT,How to overcome and how o utilize finances,0
0U0Y49QR,How can I seek guidance and counselling in our school,0
